ticker,date_from,date_to,value_from,value_to,pct_change
NASDAQCOM,2022-10-14 00:00:00,2022-10-17 00:00:00,10321.39,10675.8,3.433742935786748
NASDAQCOM,2022-10-20 00:00:00,2022-10-21 00:00:00,10614.84,10859.72,2.306958936733848
NASDAQCOM,2022-10-24 00:00:00,2022-10-25 00:00:00,10952.61,11199.12,2.2506964093490063
NASDAQCOM,2022-10-25 00:00:00,2022-10-26 00:00:00,11199.12,10970.99,-2.037035052754154
NASDAQCOM,2022-10-26 00:00:00,2022-10-27 00:00:00,10970.99,10792.67,-1.6253774727713701
NASDAQCOM,2022-10-27 00:00:00,2022-10-28 00:00:00,10792.67,11102.45,2.870281403952874
NASDAQCOM,2022-10-28 00:00:00,2022-10-31 00:00:00,11102.45,10988.15,-1.0295024971965745
NASDAQCOM,2022-11-01 00:00:00,2022-11-02 00:00:00,10890.85,10524.8,-3.3610783364016683
NASDAQCOM,2022-11-02 00:00:00,2022-11-03 00:00:00,10524.8,10342.94,-1.727918820310113
NASDAQCOM,2022-11-03 00:00:00,2022-11-04 00:00:00,10342.94,10475.25,1.2792300835159005
NASDAQCOM,2022-11-08 00:00:00,2022-11-09 00:00:00,10616.2,10353.17,-2.4776285299824856
NASDAQCOM,2022-11-09 00:00:00,2022-11-10 00:00:00,10353.17,11114.15,7.3502125435977534
NASDAQCOM,2022-11-10 00:00:00,2022-11-11 00:00:00,11114.15,11323.33,1.8821052442157098
NASDAQCOM,2022-11-11 00:00:00,2022-11-14 00:00:00,11323.33,11196.22,-1.1225496386663691
NASDAQCOM,2022-11-14 00:00:00,2022-11-15 00:00:00,11196.22,11358.41,1.4486139071936825
NASDAQCOM,2022-11-15 00:00:00,2022-11-16 00:00:00,11358.41,11183.66,-1.5385075904109817
NASDAQCOM,2022-11-18 00:00:00,2022-11-21 00:00:00,11146.06,11024.51,-1.0905198787733
NASDAQCOM,2022-11-21 00:00:00,2022-11-22 00:00:00,11024.51,11174.41,1.3596976192139119
NASDAQCOM,2022-11-25 00:00:00,2022-11-28 00:00:00,11226.36,11049.5,-1.5753993280101526
NASDAQCOM,2022-11-29 00:00:00,2022-11-30 00:00:00,10983.78,11468.0,4.408500534424391
NASDAQCOM,2022-12-02 00:00:00,2022-12-05 00:00:00,11461.5,11239.94,-1.933080312350037
NASDAQCOM,2022-12-05 00:00:00,2022-12-06 00:00:00,11239.94,11014.89,-2.0022348873748532
NASDAQCOM,2022-12-07 00:00:00,2022-12-08 00:00:00,10958.55,11082.0,1.126517650601592
NASDAQCOM,2022-12-09 00:00:00,2022-12-12 00:00:00,11004.62,11143.74,1.2641963102769471
NASDAQCOM,2022-12-12 00:00:00,2022-12-13 00:00:00,11143.74,11256.81,1.014650377700841
NASDAQCOM,2022-12-14 00:00:00,2022-12-15 00:00:00,11170.89,10810.53,-3.225884419236057
NASDAQCOM,2022-12-16 00:00:00,2022-12-19 00:00:00,10705.41,10546.03,-1.4887799719954602
NASDAQCOM,2022-12-20 00:00:00,2022-12-21 00:00:00,10547.11,10709.37,1.5384309066654298
